doi;first_author;year;facility;experiment;treatment;exp_id;included;reason_for_exclusion;t_initial;t_final;Temperature;weaning_prey;weaning_duration;main_prey;prey_status;ration_bw_perc;egg type;photoperiod;volume_l;animal_per_tank;density_animals_liter;notes
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;8;cla_89_1_8;y;;41;55;17.5;mysids;;mysids;live;0.3 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;9;cla_89_1_9;y;;41;55;17.5;mysids;;mysids;live;0.6 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;10;cla_89_1_10;y;;41;55;17.5;mysids;;mysids;live;1 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;11;cla_89_1_11;y;;41;55;17.5;mysids;;mysids;live;2 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;12;cla_89_1_12;y;;41;55;17.5;mysids;;mysids;live;3 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/j.marpolbul.2015.02.018;Le Pabic;2015;Centre de recherces environment cotier Luc Sur Mer;1;1;lep_15_1_1;y;;1;29;17.5;;;crangon;live;libitum;collected from wild;14:10;;32;;control treatment
https://doi.org/10.1111/j.1365-2109.2007.01858.x;Correia;2008;Ramalhete Aquaculture Field Station;1;1;cor_08b_1_1;y;;1;22;18.5;;;mysids;live;15;wild spawner laid in lab;14:10;10;30;3;
https://doi.org/10.1111/j.1365-2109.2007.01858.x;Correia;2008;Ramalhete Aquaculture Field Station;1;2;cor_08b_1_2;y;;1;22;18.5;;;mysids;live;30;wild spawner laid in lab;14:10;10;30;3;
https://doi.org/10.1111/j.1365-2109.2007.01858.x;Correia;2008;Ramalhete Aquaculture Field Station;2;1;cor_08b_2_1;y;;22;43;18.5;mysids;21;grass shrimp;live;15;wild spawner laid in lab;14:10;10;30;3;
https://doi.org/10.1111/j.1365-2109.2007.01858.x;Correia;2008;Ramalhete Aquaculture Field Station;2;2;cor_08b_2_2;y;;22;43;18.5;mysids;21;grass shrimp;live;30;wild spawner laid in lab;14:10;10;30;3;
10.1111/j.1365-2095.2009.00661.x;Ferreira;2010;Agua del Pino;1;1;fer_10_1_1;y;;75;104;21;mysids;21;grass shrimp;frozen;15;collected from wild;16:08;27.2;10;0.367647059;
10.1111/j.1365-2095.2009.00661.x;Ferreira;2010;Agua del Pino;1;2;fer_10_1_2;y;;75;104;21;mysids;21;fish;frozen;15;collected from wild;16:08;27.2;10;0.367647059;
10.1111/j.1365-2095.2009.00661.x;Ferreira;2010;Agua del Pino;1;3;fer_10_1_3;y;;75;104;21;mysids;21;crayfish;frozen;15;collected from wild;16:08;27.2;10;0.367647059;
